순위_1개월박스	분류	로케이션	제품명	바코드	1개월_출고박스
746	탑백 리빙박스	320-A1-2-161	보노하우스 컴포트 대형 리빙박스 민트 72리터 4개	R016233040003	0
747	슬림형 서랍장	320-A1-1-471	보노하우스 심플리 슬림 서랍장 7단 크림 1개	R011427100002	0
748	와이드 서랍장	320-A1-1-798	보노하우스 시에나 우드상판 서랍장 화이트 와이드 5단 1개 550X420X1027mm	R227054870011	0
749	에센셜	320-A1-1-850	보노하우스 위클리 서랍장 화이트 5단 1개	R208070380003	0
750	와이드 서랍장	320-A1-1-799	보노하우스 시에나 우드상판 서랍장 크림 와이드 5단 1개 550X420X1027mm	R227054880012	0
751	옷걸이	320-A1-1-361	보노하우스 리즈 논슬립 옷걸이 80P - 퍼플	R212219400012	0
752	펭귄 정리함	320-A1-2-52	펭귄 기저귀 정리함 3단(캡1개 포함) 화이트	R003286190001	0
753	거실화	320-A1-1-334	보노하우스 국내제조 에어리본 워셔블 거실화 그레이 2개 FREE	R254871030003	0
754	에센셜	320-A1-1-941	보노하우스 심플리 베이직 서랍장 4단 크림 1개	R013021990002	0
755	옷걸이	320-A1-1-686	보노하우스 국내제조 마이티 논슬립 옷걸이 퍼플 50개	R256671740005	0
756	옷걸이	320-A1-1-351	보노하우스 국내제조 몽드 아동옷걸이 화이트 10개	R254631180001	0
757	북 트롤리	320-A1-2-136	보노하우스 어니스트 칸막이 정리함 모던블루 1개	R211452160003	0
758	탑백 리빙박스	320-A1-2-166	보노하우스 컴포트 대형 리빙박스 네이비 52리터 4개	R016233040010	0
759	탑백 리빙박스	320-A1-2-168	보노하우스 컴포트 대형 리빙박스 버터 52리터 4개	R016233040002	0
760	에센셜	320-A1-1-921	보노하우스 심플리 베이직 서랍장 2단 크림 1개	R013011210002	0
761	미니 해피	320-A1-2-143	보노하우스 모던 미니 해피박스 정리함 그레이 4개 22 x 22 x 14 cm	R246038070007	0
762	와이드 서랍장	320-A1-1-704	보노하우스 에버 라탄 우드상판 와이드 서랍장 버터 3단 1개	R214219350004	0
763	에센셜	320-A1-1-893	보노하우스 시에나 우드상판 서랍장 크림 3단 1개 340X420X627mm	R227054780002	0
764	와이드 서랍장	320-A1-1-739	보노하우스 세라비 우드상판 와이드 서랍장 라이트그레이 3단 1개	R212660690013	0
765	에센셜	320-A1-1-894	보노하우스 시에나 우드상판 서랍장 크림 4단 1개 340X420X827mm	R227054800004	0
766	에센셜	320-A1-1-844	보노하우스 라노보 우드상판 서랍장 그레이 4단 1개	R208443720002	0
767	미니 해피	320-A1-2-144	보노하우스 모던 미니 해피박스 정리함 버터 4개 22 x 22 x 14 cm	R246038080008	0
768	에센셜	320-A1-1-885	보노하우스 시에나 우드상판 서랍장 화이트 5단 1개 340X420X1027mm	R227054810005	0
769	거실화	320-A1-1-332	보노하우스 국내제조 에어리본 워셔블 거실화 그레이 1개 FREE	R254871010001	0
770	에센셜	320-A1-1-836	보노하우스 라노보 우드상판 서랍장그레이 3단 1개	R208070330006	0
771	옷걸이	320-A1-1-676	보노하우스 국내제조 회전형 논슬립 옷걸이 그린 50개	R256671620002	0
772	리빙박스 로코스	320-A1-1-363	아이엠 리빙박스 수납정리함 S 그레이 2개	R006207930005	0
773	리빙카트	320-A1-2-190	보노하우스 엠버 이동식 수납 트롤리 아이보리 2단	R210089950002	0
774	레브 스토리지	320-A1-1-575	보노하우스 클래식 수납정리함 13리터 그레이 4개 1팩	R015858070010	0
775	옷걸이	320-A1-1-687	보노하우스 국내제조 마이티 논슬립 옷걸이 그린 100개	R256671720003	0
776	와이드 서랍장	320-A1-1-796	보노하우스 시에나 우드상판 서랍장 화이트 와이드 4단 1개 550X420X827mm	R227054850009	0
777	초대형	320-A1-1-657	Box_모던초대형해피박스_블루_4개	R000538800014	0
778	리빙박스 로코스	320-A1-1-296	아이엠 리빙박스 수납정리함 L 화이트 4개	R006102350006	0
779	에센셜	320-A1-1-865	보노하우스 라노보 우드상판 서랍장 네이비 6단 1개	R213276410005	0
780	탑백 리빙박스	320-A1-2-24	보노하우스 플라스틱 리빙박스 반투명 72리터 4개	R015787750006	0
781	리빙카트	320-A1-2-188	모던 리빙카트 트롤리 4단 네이비	R006266960009	0
782	와이드 서랍장	320-A1-1-749	보노하우스 세라비 우드상판 와이드 서랍장 라이트그레이 4단 1개	R212660650009	0
783	모던 플러스	320-A1-1-16	뉴모던플러스 4단 화이트	R000150580027	0
784	에센셜	320-A1-1-909	보노하우스 세라비 우드상판 서랍장 크림 5단 1개	R212660720001	0
785	에센셜	320-A1-1-790	보노하우스 에버 라탄 우드상판 서랍장 크림 7단 1개	R214219250018	0
786	와이드 서랍장	320-A1-1-710	보노하우스 에버 라탄 우드상판 와이드 서랍장크림 4단 1개	R214219330002	0
787	레브 스토리지	320-A1-1-576	보노하우스 클래식 수납정리함 26리터 크림 2개 1팩	R015858070012	0
788	리빙박스 로코스	320-A1-1-395	보노하우스 국내 제조 팬트리수납 정리바스켓 화이트 2개 XS	R233050490001	0
789	에센셜	320-A1-1-954	보노하우스 심플리 베이직 서랍장 5단 라이트 그레이 1개	R013009750001	0
790	에센셜	320-A1-1-778	보노하우스 에버 라탄 우드상판 서랍장 크림 4단 1개	R214219080001	0
791	에센셜	320-A1-1-771	보노하우스 에버 라탄 우드상판 서랍장 화이트 2단 1개	R214219270020	0
792	리빙카트	320-A1-2-195	보노하우스 엠버 이동식 수납 트롤리 네이비 3단	R210089960003	0
793	에센셜	320-A1-1-838	보노하우스 라노보 우드상판 서랍장버터 3단 1개	R208070310004	0
794	에센셜	320-A1-1-781	보노하우스 에버 라탄 우드상판 서랍장 버터 4단 1개	R214219260019	0
795	핸들러 바스켓	320-A1-1-270	보노하우스 리빙 그립 바스켓 슬림형 8개 화이트 1팩	R012218820002	0
796	펭귄 정리함	320-A1-2-50	보노하우스 모던 트롤리 2단 화이트 1개	R010815920005	0
797	리빙박스 로코스	320-A1-1-364	아이엠 리빙박스 수납정리함 S 화이트 2개	R006207930006	0
